DATETIME,national_demand
2019-01-01 00:00:00,23808
2019-01-01 00:30:00,24402
2019-01-01 01:00:00,24147
2019-01-01 01:30:00,23197
2019-01-01 02:00:00,22316
2019-01-01 02:30:00,21987
2019-01-01 03:00:00,20958
2019-01-01 03:30:00,20640
2019-01-01 04:00:00,20331
2019-01-01 04:30:00,20095
2019-01-01 05:00:00,20138
2019-01-01 05:30:00,20404
2019-01-01 06:00:00,21110
2019-01-01 06:30:00,21583
2019-01-01 07:00:00,22209
2019-01-01 07:30:00,22624
2019-01-01 08:00:00,23205
2019-01-01 08:30:00,23947
2019-01-01 09:00:00,25097
2019-01-01 09:30:00,26220
2019-01-01 10:00:00,27227
2019-01-01 10:30:00,28065
2019-01-01 11:00:00,28683
2019-01-01 11:30:00,29211
2019-01-01 12:00:00,29823
2019-01-01 12:30:00,30179
2019-01-01 13:00:00,30470
2019-01-01 13:30:00,30430
2019-01-01 14:00:00,30728
2019-01-01 14:30:00,31080
2019-01-01 15:00:00,31713
2019-01-01 15:30:00,32516
2019-01-01 16:00:00,34255
2019-01-01 16:30:00,36367
2019-01-01 17:00:00,37034
2019-01-01 17:30:00,36928
2019-01-01 18:00:00,36514
2019-01-01 18:30:00,35771
2019-01-01 19:00:00,35123
2019-01-01 19:30:00,34161
2019-01-01 20:00:00,33313
2019-01-01 20:30:00,32198
2019-01-01 21:00:00,31193
2019-01-01 21:30:00,29798
2019-01-01 22:00:00,28450
2019-01-01 22:30:00,27209
2019-01-01 23:00:00,25782
2019-01-01 23:30:00,24781
2019-01-02 00:00:00,24748
2019-01-02 00:30:00,25273
2019-01-02 01:00:00,25102
2019-01-02 01:30:00,24547
2019-01-02 02:00:00,24156
2019-01-02 02:30:00,24026
2019-01-02 03:00:00,23646
2019-01-02 03:30:00,23337
2019-01-02 04:00:00,23093
2019-01-02 04:30:00,23236
2019-01-02 05:00:00,23819
2019-01-02 05:30:00,25059
2019-01-02 06:00:00,27763
2019-01-02 06:30:00,30050
2019-01-02 07:00:00,32562
2019-01-02 07:30:00,34231
2019-01-02 08:00:00,36091
2019-01-02 08:30:00,37534
2019-01-02 09:00:00,38698
2019-01-02 09:30:00,39097
2019-01-02 10:00:00,39255
2019-01-02 10:30:00,39253
2019-01-02 11:00:00,39290
2019-01-02 11:30:00,39152
2019-01-02 12:00:00,39533
2019-01-02 12:30:00,39751
2019-01-02 13:00:00,39999
2019-01-02 13:30:00,40217
2019-01-02 14:00:00,40602
2019-01-02 14:30:00,41076
2019-01-02 15:00:00,41312
2019-01-02 15:30:00,42262
2019-01-02 16:00:00,43456
2019-01-02 16:30:00,44454
2019-01-02 17:00:00,45011
2019-01-02 17:30:00,44913
2019-01-02 18:00:00,44720
2019-01-02 18:30:00,44353
2019-01-02 19:00:00,43728
2019-01-02 19:30:00,42495
2019-01-02 20:00:00,41276
2019-01-02 20:30:00,39639
2019-01-02 21:00:00,38057
2019-01-02 21:30:00,36142
2019-01-02 22:00:00,34255
2019-01-02 22:30:00,32376
2019-01-02 23:00:00,30266
2019-01-02 23:30:00,29075
2019-01-03 00:00:00,28715
2019-01-03 00:30:00,28955
2019-01-03 01:00:00,28616
2019-01-03 01:30:00,28002
2019-01-03 02:00:00,27534
2019-01-03 02:30:00,27325
2019-01-03 03:00:00,26959
2019-01-03 03:30:00,26487
2019-01-03 04:00:00,26287
2019-01-03 04:30:00,26364
2019-01-03 05:00:00,27024
2019-01-03 05:30:00,28150
2019-01-03 06:00:00,30764
2019-01-03 06:30:00,33172
2019-01-03 07:00:00,35880
2019-01-03 07:30:00,37696
2019-01-03 08:00:00,39369
2019-01-03 08:30:00,40668
2019-01-03 09:00:00,41691
2019-01-03 09:30:00,41945
2019-01-03 10:00:00,42070
2019-01-03 10:30:00,42394
2019-01-03 11:00:00,42291
2019-01-03 11:30:00,42279
2019-01-03 12:00:00,42374
2019-01-03 12:30:00,42216
2019-01-03 13:00:00,42274
2019-01-03 13:30:00,42912
2019-01-03 14:00:00,43287
2019-01-03 14:30:00,43413
2019-01-03 15:00:00,43629
2019-01-03 15:30:00,44128
2019-01-03 16:00:00,44779
2019-01-03 16:30:00,44574
2019-01-03 17:00:00,44654
2019-01-03 17:30:00,44558
2019-01-03 18:00:00,44303
2019-01-03 18:30:00,44422
2019-01-03 19:00:00,44527
2019-01-03 19:30:00,43842
2019-01-03 20:00:00,42516
2019-01-03 20:30:00,41090
2019-01-03 21:00:00,39311
2019-01-03 21:30:00,37255
2019-01-03 22:00:00,35269
2019-01-03 22:30:00,33248
2019-01-03 23:00:00,31191
2019-01-03 23:30:00,29818
2019-01-04 00:00:00,29447
2019-01-04 00:30:00,29734
2019-01-04 01:00:00,29306
2019-01-04 01:30:00,28605
2019-01-04 02:00:00,28077
2019-01-04 02:30:00,27926
2019-01-04 03:00:00,27507
2019-01-04 03:30:00,27108
2019-01-04 04:00:00,26825
2019-01-04 04:30:00,26971
2019-01-04 05:00:00,27629
2019-01-04 05:30:00,28709
2019-01-04 06:00:00,31197
2019-01-04 06:30:00,33791
2019-01-04 07:00:00,36606
2019-01-04 07:30:00,38620
2019-01-04 08:00:00,40241
2019-01-04 08:30:00,41471
2019-01-04 09:00:00,42458
2019-01-04 09:30:00,42738
2019-01-04 10:00:00,42717
2019-01-04 10:30:00,42585
2019-01-04 11:00:00,42512
2019-01-04 11:30:00,42533
2019-01-04 12:00:00,42591
2019-01-04 12:30:00,42489
2019-01-04 13:00:00,42308
2019-01-04 13:30:00,42256
2019-01-04 14:00:00,42492
2019-01-04 14:30:00,42509
2019-01-04 15:00:00,42935
2019-01-04 15:30:00,43465
2019-01-04 16:00:00,43436
2019-01-04 16:30:00,44481
2019-01-04 17:00:00,44641
2019-01-04 17:30:00,44633
2019-01-04 18:00:00,44763
2019-01-04 18:30:00,44456
2019-01-04 19:00:00,44176
2019-01-04 19:30:00,43080
2019-01-04 20:00:00,41382
2019-01-04 20:30:00,39957
2019-01-04 21:00:00,38249
2019-01-04 21:30:00,36330
